Event ID,Event Date,Brief Description,What Happened,Event Location,Latitude,Longitude,NZ Region,Where Happened,Sector,Number of Injured Persons,Vessel Class,Safety System,Country Flag,Gross Tonnage,Length Overall,Year of Build
EVT-3771,6/07/2022,"Fishing vessel operating in the middle of channel entrance, obstructing passage of large vessel traffic. Inbound ro-ro vessel sounded horn to alert fishing vessel, before it passed within 20m of the vessel's port side.",Near miss/close quarters,"Tory Channel Entrance, Marlborough",-41.21243,174.320216,Marlborough,Inshore,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,NULL,11.97,2013
EVT-3771,6/07/2022,"Fishing vessel operating in the middle of channel entrance, obstructing passage of large vessel traffic. Inbound ro-ro vessel sounded horn to alert fishing vessel, before it passed within 20m of the vessel's port side.",Near miss/close quarters,"Tory Channel Entrance, Marlborough",-41.21243,174.320216,Marlborough,Inshore,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,22365,181.6,1995
EVT-3773,7/07/2022,Vessel declared mayday advising of a fire in the engine room before downgrading alert to urgent. Vessel was then towed to harbour by another vessel in the vicinity.,Fire,"Waitata Reach, Marlborough",-40.966667,173.966667,Marlborough,Inshore,Domestic Commercial,0,Barge,MOSS,New Zealand,87,27,1980
EVT-3796,7/07/2022,"A hose blew on the gearbox when the vessel was coming into Havelock wharf to unload. The anchor was readied for deployment, but another vessel came along side and manoeuvred the vessel into the wharf where the hose was fixed. ",Propulsion failure,Havelock Marina,-41.277067,173.771031,Marlborough,Marina/boat ramp,Domestic Commercial,0,Aquaculture vessel,MOSS,New Zealand,NULL,16.75,1982
EVT-3775,8/07/2022,"While loading logs using a log lifter, the lifter released wire ropes with lift approximately 2 meters above cargo on ship. There were no personnel in the area when the event occurred. Lifter was replaced and operations resumed.",Lifting/Cargo gear failure,"Northport, Marsden Point",-35.832208,174.486318,Northland,At berth,International Commercial,0,Bulk carrier,ISM,Bahamas,24725,NULL,2014
EVT-3780,8/07/2022,Crew member reported chest pain. Crew member was evacuated from the vessel and taken to hospital for further observation. ,Medical Event,Cook Strait ,-41.290553,174.479093,Wellington,Inshore,Domestic Commercial,1,Trawler,MOSS,New Zealand,529,42.75,1987
EVT-3839,8/07/2022,Incinerator not functional. Spare parts ordered for arrival in Auckland.,Equipment failure,Top of North Island,-33.817847,173.066545,NULL,Coastal,International Commercial,0,Cargo ship,ISM,Singapore,7775,NULL,2009
EVT-3778,10/07/2022,"Vessel's anchor became caught on the seabed, causing the bow to dip below the waterline with the rising tide. Vessel skipper activated an EPIRB and set off a smoke flare, with coastguard arriving to cut the anchor chain and free the vessel.",Mooring line failure,"Motuihe Island, Auckland",-36.808975,174.953563,Auckland,Inshore,Domestic Commercial,0,Hire and drive charter vessel,MOSS,New Zealand,NULL,NULL,2021
EVT-3781,11/07/2022,Stevedore tripped and fell on open grating sustaining minor injuries.,Injury,Port of Tauranga ,-37.663461,176.175116,Bay of Plenty,At berth,International Commercial,1,Container ship,ISM,Hong Kong,47877,264,2010
EVT-3797,11/07/2022,Crew member slipped on bulwarks while boarding the vessel at wharf.,Loss of stability,Tauranga Wharf,-37.676306,176.1713,Bay of Plenty,At berth,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,30,13.05,1979
EVT-3798,11/07/2022,Skipper noticed Russian vessel approaching and ordered deck boss to haul in gear. Reported that vessel hard to turn starboard to avoid collision. ,Near miss/close quarters,Offshore from West Coast,-40.596667,170.593333,NULL,Offshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,113,27.1,1971
EVT-3803,11/07/2022,Heavy leaking from scrubber pipes during departure from port Napier. Scrubber pipes were temporary repaired by crew but with no success. Request to use non compliant fuel while in NZ territorial waters. ,Oil Spill,Napier Harbour ,-39.470565,176.911354,Hawke's Bay,In harbour,International Commercial,0,Container ship,ISM,Panama,37518,242.8,1996
EVT-3799,12/07/2022,"Pilot Vessel made contact with vehicle carrier, with suspected damage to one of the propellers. Pilot Vessel was lifted out of water for inspection.",Contact,Lyttelton Harbour,-43.612908,172.717309,Canterbury,In harbour,Domestic Commercial,0,Pilot vessel,MOSS,New Zealand,NULL,16,2015
EVT-3799,12/07/2022,"Pilot Vessel made contact with vehicle carrier, with suspected damage to one of the propellers. Pilot Vessel was lifted out of water for inspection.",Contact,Lyttelton Harbour,-43.612908,172.717309,Canterbury,In harbour,Domestic Commercial,0,Vehicle carrier,ISM,Liberia,60401,NULL,2006
EVT-3800,14/07/2022,"Vessel hit rock in Breaksea Sound. Was not taking on water, extensive damage to bow and bulwarks. Made temporary repairs to bow and then sailed for Bluff. ",Grounding,Breaksea Sound,-45.569633,166.777707,Southland,In harbour,Domestic Commercial,0,Line fishing vessel,MOSS,New Zealand,NULL,14.02,1956
EVT-3802,14/07/2022,The bottom of the motor and propeller guard sustained damage from striking a clay reef. ,Grounding,Waikato River ,-37.764522,175.265768,Waikato,River,Domestic Commercial,0,Workboat,MOSS,New Zealand,NULL,4.5,1998
EVT-3804,14/07/2022,Jetboat was heading downstream on the Shotover River close to the trailers corner when the starboard engine suddenly stopped. ,Propulsion failure,Shotover River ,-44.983467,168.667589,Otago,River,Domestic Commercial,0,Jetboat,SOP,New Zealand,NULL,5.5,2004
EVT-3790,15/07/2022,"During final stages of berthing in Ports of Auckland, vessel's main engine failed to fire astern, due to a failure of the engine's starting air compressor.",Propulsion failure,Ports of Auckland,-36.8414,174.783262,Auckland,In harbour,International Commercial,0,Container ship,ISM,Marshall Islands,39941,NULL,2001
EVT-3809,15/07/2022,Main gyro and all bridge repeaters not stable when underway.,Equipment failure,Eastland Port,-38.688299,178.003692,Gisborne,In harbour,International Commercial,0,Bulk carrier,ISM,Panama,17018,169.37,2010
EVT-3810,15/07/2022,Gyro error aboard vessel and excessive trim after 12 hours of loading.,Equipment failure,Eastland Port,-38.688299,178.003692,Gisborne,In harbour,International Commercial,0,Bulk carrier,ISM,Panama,23579,NULL,2022
EVT-3782,16/07/2022,"Non-compliant pilot ladder; loose steps that rotate underfoot, and with steps no longer horizontal due to the ladder having been stretched. ",Pilot Ladder Standards,Tauranga harbour,-37.584456,176.213094,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Singapore,16803,184.1,2009
EVT-3811,16/07/2022,"Vessel reported to pull out in front of private boat while leaving wharf, causing severe movement to passengers. ",Near miss/close quarters,Whitianga Harbour ,-36.832439,175.71049,Waikato,In harbour,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,11.95,2015
EVT-3812,16/07/2022,Helmsman error in course direction when coming into port. ,Unsafe Operation or Act,Wellington ,-41.27784,174.8043,Wellington,In harbour,International Commercial,0,Container ship,ISM,Portugal,36007,230.9,2008
EVT-3813,16/07/2022,Starboard side ladder in poor condition. One side rope stretched to the extent that the steps in the lower half of the ladder were not horizontal and were loose. Pilot requested the ladder be replaced prior to sailing. ,Pilot Ladder Standards,Port of Nelson ,-41.251645,173.254214,Nelson,In harbour,International Commercial,0,Cargo ship,ISM,Hong Kong,22295,179.9,2010
EVT-3785,17/07/2022,"Crew person's hand caught between the skid and the trawl door, sustaining cuts and bruises.",Injury,Auckland Islands,-50.81755,166.203967,NULL,In harbour,Domestic Commercial,1,Trawler,MOSS,New Zealand,223,29,1979
EVT-3814,17/07/2022,"Ladder ropes not rigged correctly. Pilot supervised re-rigging of ladder to meet compliance before departure. 
",Pilot Ladder Standards,Port of Taranaki,-39.049541,174.046276,Taranaki,In harbour,International Commercial,0,Tanker,ISM,Panama,29447,NULL,2018
EVT-3828,17/07/2022,Master only qualified to operate vessel during daylight hours. Mechanical issue and resultant delay in returning to base lead to master operating outside of these hours.,Propulsion failure,Maraetai Beach,-36.878298,175.044677,Auckland,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-3835,17/07/2022,Issue with releasing the towline from towed vessel resulted in eye of tow line dropping in to the water and getting sucked in to the jet intake.,Propeller entangled,Maraetai Beach,-36.876794,175.045685,Auckland,Inshore,Domestic Commercial,0,Patrol boat,MOSS,New Zealand,NULL,9.6,NULL
EVT-3835,17/07/2022,Issue with releasing the towline from towed vessel resulted in eye of tow line dropping in to the water and getting sucked in to the jet intake.,Propeller entangled,Maraetai Beach,-36.876794,175.045685,Auckland,Inshore,Domestic Commercial,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3786,18/07/2022,Non-compliant pilot ladder. Steps loose and rotate underfoot and in generally poor condition. Pilot in attendance inspected a second ladder held in storage in better condition and advised vessel master to use this ladder instead.,Pilot Ladder Standards,Port of Tauranga,-37.586076,176.217851,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Panama,19822,NULL,2008
EVT-3787,18/07/2022,"Securing rope for pilot ladder thin and of poor quality, and with the ladder itself in poor condition. Pilot advised master that the ladder is to be replaced prior to its next arrival at port.",Pilot Ladder Standards,Port of Tauranga,-37.586484,176.216295,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Panama,17018,169.37,2010
EVT-3789,18/07/2022,Crew member sustained an injured finger after it was pierced by a hook while setting the vessel's longline.,Injury,Gisborne,-38.801457,178.387928,Gisborne,Coastal,Domestic Commercial,1,Line fishing vessel,MOSS,New Zealand,NULL,15.46,1984
EVT-3788,20/07/2022,"Vessel suffered failure of its main engine turbo. 
Discussed at ADT-2978. 6 studs broke on air cooler mounting box, and 8 more were found to be loose. All replaced with OEM parts. Instruction issued to fleet to check at 24000 hours.",Propulsion failure,Canterbury - coastal,-43.81,173.641667,NULL,Coastal,Domestic Commercial,0,Trawler,MOSS,New Zealand,2487,67.4,1989
EVT-3791,20/07/2022,"During trip, master was alerted by a loud bang followed by the failure of the port engine. Vessel unloaded passengers before returning to base on single engine. Inspection subsequently revealed a missing blade on port engine propeller.",Propulsion failure,Auckland harbour ,-36.827491,174.73352,Auckland,In harbour,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,NULL,14.2,1998
EVT-3792,20/07/2022,Crew member accidentally severed part of their left thumb while cutting fishing line. First aid was provided to the crew member while the vessel returned to shore where the crew member was transferred to hospital.,Injury,Tasman bay mussel farm,-41.07997,173.058177,Tasman,Inshore,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,127,30.6,2019
EVT-3793,20/07/2022,"Combination ladder gangway steeper than 45 degrees, representing a potential hazard for any pilot boarding the vessel.",Pilot Ladder Standards,Port Chalmers,-45.736761,170.772836,Otago,Inshore,International Commercial,0,Bulk carrier,ISM,Panama,30018,189.94,2008
EVT-3816,21/07/2022,"Mooring line parted in adverse weather conditions with vessel alongside Aotea Quay, with wind gusts over 50 knots.",Mooring line failure,Wellington harbour,-41.268874,174.787122,Wellington,At berth,Domestic Commercial,0,Ro-Ro cargo ship,ISM,New Zealand,23987,NULL,1999
EVT-3815,22/07/2022,Main engine failed whilst running at dead slow astern when inside the Stella Passage turning Basin.,Propulsion failure,Port of Tauranga,-37.664073,176.177283,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,United Kingdom,41483,NULL,2007
EVT-3807,23/07/2022,"Net roller was rotated a half turn to free Gilson hooks. The codend of the spare trawl came free from its restraints and made contact with the deckhand, knocking him to the ground. Deckhand suffered a lower leg injury. ",Injury,West Coast,-42.635788,169.865351,NULL,Coastal,Domestic Commercial,1,Trawler,MOSS,New Zealand,2412,69,1988
EVT-3820,23/07/2022,Non compliant ladder for boarding logging vessel.,Pilot Ladder Standards,Port of Tauranga,-37.640211,176.174161,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Liberia,17070,NULL,2013
EVT-3821,23/07/2022,Body of sea suction valve to bilge pump blew out. Engine stopped for valve isolation from sea intake line 1420 to 1550 so it could be removed. Voyage resumed thereafter.,Equipment failure,Cape Palliser,-41.679,175.3,Wellington,Inshore,International Commercial,0,Cargo ship,ISM,New Zealand,18358,175.41,2011
EVT-3817,24/07/2022,"Engine changed over to low sulphur fuel prior to departure. While exiting harbour, chief engineer advised fuel conditioning module automatic filter indicated high back pressure. Vessel brought to a stop, filter elements changed and engine restarted.",Propulsion failure,Whangarei Harbour,-35.778939,174.351638,Northland,In harbour,Domestic Commercial,0,Bulk carrier,ISM,New Zealand,8745,124.7,2016
EVT-3823,24/07/2022,Passenger experienced sore stomach and bleeding. Attended to by onboard Medical Officer and advised to be taken to shore for medical treatment.,Medical Event,Kawau Bay,-36.419954,174.760403,Auckland,In harbour,Domestic Commercial,1,Sail training vessel,MOSS,New Zealand,184,37.5,1986
EVT-5017,24/07/2022,"Collision between rowing skiff and motor boat, resulting in injuries to two of the skiff passengers.",Collision,"Jacobs River Estuary, Riverton",-46.359185,168.026088,Southland,Inshore,Recreational,2,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-5017,24/07/2022,"Collision between rowing skiff and motor boat, resulting in injuries to two of the skiff passengers.",Collision,"Jacobs River Estuary, Riverton",-46.359185,168.026088,Southland,Inshore,Recreational,2,Rowing boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3827,25/07/2022,Reported that fishing vessel had entered 200m safe zone on a number of occasions.,Near miss/close quarters,Foveaux Strait,-46.728033,168.192317,Southland,Inshore,Domestic Commercial,0,Fishing Dredger,MOSS,New Zealand,NULL,19.16,1946
EVT-3853,25/07/2022,"Due to extreme weather and a big swell, the boat came away from the mooring and landed high on the rocks. The boat was salvaged and taken to Opua boat yard.",Grounding,Near Paihia Lookout ,-35.285893,174.097962,Northland,In harbour,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3824,26/07/2022,The port side ladder that looked in good condition and reasonably new had steps that rotated under foot. Bow thruster also failed during arrival. ,Pilot Ladder Standards,Port of Tauranga,-37.639472,176.171564,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Hong Kong,25406,NULL,2006
EVT-3825,26/07/2022,"Crew member slipped on deck, injuring their right side rib area.",Injury,Offshore from East Coast on South Island,-43.24,174.53,NULL,Offshore,Domestic Commercial,1,Line fishing vessel,MOSS,New Zealand,169,29,1987
EVT-3830,26/07/2022,Grounding at Goat Island. Crew moved to the stern to lift the bow which was enough for the vessel to float free with astern propulsion.,Grounding,Goat Island,-45.823056,170.626944,Otago,In harbour,Domestic Commercial,0,Patrol boat,MOSS,New Zealand,NULL,5.5,NULL
EVT-3808,27/07/2022,"Discharging pre-slung pipes on 6 meter beam from hatch 3, starboard side. One pipe in a lift of 4, that were all individually slung, caught the top coaming rail and dropped.",Lifting/Cargo gear failure,"Berth 3, Port of Tauranga",-37.661405,176.175337,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,22871,NULL,2014
EVT-3831,27/07/2022,Number 3 alternator failure resulted in an electrical fire.,Fire,Cook Strait,-41.303366,174.478618,Wellington,Inshore,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,21856,186,1997
EVT-3826,28/07/2022,Crew member sustained a fractured finger after a carton fell on their hand during unloading.,Injury,Lyttelton Port,-43.604929,172.716111,Canterbury,At berth,Domestic Commercial,1,Trawler,MOSS,New Zealand,4407,104.5,1990
EVT-3837,28/07/2022,The Pilot Ladder rigged for boarding of Maple Star was non compliant. The ladder had been badly stretched and the steps no longer lay horizontal.,Pilot Ladder Standards,Port of Tauranga,-37.643747,176.173435,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Marshall Islands,23857,NULL,2012
EVT-3818,29/07/2022,"Passenger tripped on the second step of the gangway, sustaining abrasions. First aid administered. ",Injury,Queens Wharf,-41.28353,174.779347,Wellington,At berth,Domestic Commercial,1,Passenger Ferry,MOSS,New Zealand,NULL,NULL,2021
EVT-3832,29/07/2022,Crew member slipped while mooring the vessel and twisted his knee.,Injury,Port of Lyttelton ,-43.604671,172.715688,Canterbury,At berth,Domestic Commercial,1,Trawler,MOSS,New Zealand,4407,104.5,1989
EVT-3819,30/07/2022,Vessel made a distress radio transmission after grounding. Four passengers were evacuated by Coastguard Kaikoura with one passenger transported to hospital.,Grounding,Kaikoura ,-42.412558,173.697453,Canterbury,In harbour,Recreational,1,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3854,30/07/2022,"Crew member found unconscious in toilet. Treated by doctor on board, and MEDEVAC attempted, but due to adverse weather conditions vessel had to steam to Nelson. ",Medical Event,23 NM from top of South Island,-40.092333,172.925167,12NM to 200NM,Coastal,Domestic Commercial,1,Trawler,MOSS,New Zealand,4407,104.5,1989
EVT-3855,30/07/2022,Crew member sustained a fish spike in their hand while processing fish in the fishroom. Crew put on light duties and given anti inflammatory medication and pain relief. ,Injury,Off Waiharehare Bay ,-38.51163914,178.4454346,Gisborne,Inshore,Domestic Commercial,1,Trawler,MOSS,New Zealand,NULL,23.96,2016
EVT-3829,2/08/2022,Vessel's mooring line strained and frayed due to vessel drifting from berth in strong winds.  ,Mooring line failure,"Centreport, Wellington",-41.277516,174.789482,Wellington,At berth,International Commercial,0,Container ship,ISM,Singapore,41678,266,2013
EVT-3845,2/08/2022,"Pilot ladder found in poor condition, with loose chocks on the treads. Pilot proceeded with the transfer, with the ladder removed from service thereafter.",Pilot Ladder Standards,Port of Tauranga,-37.58901,176.184097,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Hong Kong,26404,NULL,2008
EVT-3847,2/08/2022,"Pilot ladder secured with poorly maintained ropes. Pilot ladder also in poor condition, with loose chocks, and manropes badly maintained.",Pilot Ladder Standards,Port of Tauranga,-37.589809,176.174428,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Marshall Islands,19885,NULL,2006
EVT-3848,2/08/2022,"During pilot disembarkation, ladder found to have loose treads and was stretched on one side.",Pilot Ladder Standards,Port of Tauranga,-37.591654,176.173387,Bay of Plenty,Inshore,International Commercial,0,Container ship,ISM,Singapore,47877,NULL,2010
EVT-3852,2/08/2022,"Jetboat briefly touched river bottom, causing vessel to veer off line and to collide with a tree. Driver sustained serious hand injuries and was transported to hospital for treatment.",Contact,Waitaha River ,-43.028173,170.70617,West Coast,River,Recreational,1,Jetboat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3833,3/08/2022,"Vessel lost a section of its cod-end during hauling. Skipper was unable to retrieve lost gear, due to adverse conditions, with wind at the time of the loss was between 25-30 knots.",Equipment failure,West Coast,-41.635,170.573333,NULL,Coastal,Domestic Commercial,0,Trawler,MOSS,New Zealand,1899,64,1992
EVT-3849,4/08/2022,"Crew member slipped while descending stairs, injuring their left foot and knee. Treatment was provided on site by ship crew before they were transferred to hospital for treatment.",Injury,"Waitohi Wharf, Picton",-41.282872,174.005709,Marlborough,At berth,Domestic Commercial,1,Ro-Ro Passenger ship,ISM,New Zealand,22160,179.93,1998
EVT-3851,4/08/2022,"Vessel called Coastguard for assistance. As vessel was beyond the coastguard's 12 mile limit, Coastguard rescue vessel required a crew exemption to respond. Upon receiving exemption, Coastguard reached vessel in distress and towed back to shore.",Propulsion failure,Whitianga,-36.757783,176.225633,NULL,Coastal,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3861,4/08/2022,"Pilot ladder in poor condition, with loose chocks resulting in steps rotating underfoot.",Pilot Ladder Standards,Port of Tauranga,-37.592991,176.186332,Bay of Plenty,In harbour,International Commercial,0,Cargo ship,ISM,Panama,23232,NULL,2017
EVT-3867,5/08/2022,Vessel was swamped whilst moored at Wanaka Marina.,Flooded,Wanaka Marina ,-44.69080515,169.1327571,Otago,Marina/boat ramp,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,NULL,6.5,2017
EVT-3844,6/08/2022,MPI observer had a seizure and lost consciousness for 5 minutes. Vessel decided to return to port (Westport). Observer taken to Greymouth hospital by ambulance.,Medical Event,90 NM from Westport,-41.57983945,169.4641113,12NM to 200NM,Offshore,Domestic Commercial,1,Line fishing vessel,MOSS,New Zealand,NULL,17.7,1980
EVT-3862,6/08/2022,Vessel at berth when one of the spring lines parted. No damage to the vessel or injuries to crew.,Mooring line failure,Port Chalmers,-45.813261,170.625274,Otago,At berth,International Commercial,0,Container ship,ISM,Singapore,73899,286.45,2008
EVT-3865,6/08/2022,Port engine stopped as vessel was manoeuvring alongside Aotea Quay when the port main engine stopped. Master was able to control the vessel using the starboard engine before restarting the port engine and completing the berthing procedure.,Propulsion failure,"Aotea Quay, Wellington",-41.269286,174.787231,Wellington,In harbour,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,21856,186,1997
EVT-3866,6/08/2022,"Vessel touched the bottom during approach to Cascade Cove. Vessel proceeded further into Cascade Cove to its mooring. Preliminary checks of compartments found no water ingress, with divers to perform further inspections of vessel hull.",Grounding,"Cascade Cove, Southland",-45.795465,166.60552,Southland,Inshore,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,258,30,1992
EVT-3840,7/08/2022,Commercial fishing vessel collided with a vessel which was anchored on the edge of Tauranga Harbour channel. Anchor rope went under vessel as it passed and was cut. No apparent damage to hull.,Contact,Tauranga Harbour,-37.577245,176.180547,Bay of Plenty,In harbour,Domestic Commercial,0,Dinghy,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3840,7/08/2022,Commercial fishing vessel collided with a vessel which was anchored on the edge of Tauranga Harbour channel. Anchor rope went under vessel as it passed and was cut. No apparent damage to hull.,Contact,Tauranga Harbour,-37.577245,176.180547,Bay of Plenty,In harbour,Domestic Commercial,0,Line fishing vessel,MOSS,New Zealand,81.2,19.91,1973
EVT-3856,7/08/2022,Ship board crane number 3 has collided with the jig of ship board crane number 4. No visible damage nor injuries.,Log Handling,Port of Otago ,-45.814105,170.627285,Otago,At berth,International Commercial,0,Bulk carrier,ISM,Panama,21530,NULL,2017
EVT-3857,7/08/2022,The pilot boat was rocked by a wave causing the deckhand to fall over. Her legs were immersed in the water however she was restrained from going overboard by being attached to the safety lanyard. ,Person Overboard,Bream Bay,-35.90139873,174.5486527,Northland,In harbour,Domestic Commercial,0,Pilot vessel,MOSS,New Zealand,NULL,12.6,1999
EVT-3871,7/08/2022,Vessel's mooring line failed with vessel subsequently drifting onto rocks.,Grounding,"Cass Bay, Lyttelton",-43.607624,172.689698,Canterbury,Inshore,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,10.8,1965
EVT-3872,7/08/2022,Pilot requested manropes for departure and was advised that available manropes had 'crown knots' tied at the end. Vessel master was advised to replace the manropes or sever the knots. The knots were cut off prior to departure.,Pilot Ladder Standards,Lyttelton port,-43.580001,172.841878,Canterbury,Inshore,International Commercial,0,Bulk carrier,ISM,Liberia,49228,NULL,2021
EVT-3841,8/08/2022,Commenced turn towards Wellington Harbour. During the turn the vessel rolled heavily and the forward part of a truck & trailer unit on the main vehicle deck rolled over onto its side. The unit was carrying wool products. No diesel spilt. ,Gear/Items shifting,7.2 miles of Sinclair Head,-41.382094,174.714944,Wellington,Inshore,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,21856,186,1997
EVT-3850,9/08/2022,Suspected diesel leak from truck. Small sheen of diesel on the water in harbour. Estimated amount of fuel on deck was 300 litres.,Oil Spill,Picton Harbour ,-41.282865,174.007825,Marlborough,In harbour,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,21856,186,1997
EVT-3858,9/08/2022,One pump stopped working and the water ingress sunk the vessel level. ,Equipment failure,Glasgow Wharf Wellington ,-41.281198,174.782159,Wellington,At berth,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3868,10/08/2022,"While lowering the heave into the hold, the runner wire on crane two broke and the heave of logs fell approximately 2m onto the hold floor.",Lifting/Cargo gear failure,South Port Bluff,-46.590017,168.334171,Southland,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,33090,NULL,2012
EVT-3912,10/08/2022,Fatal recreational boating accident.,Capsize,Lake Rotorua ,-38.07,176.31,Bay of Plenty,Lake,Recreational,0,Recreational Kayak,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-3869,11/08/2022,Vessel was entering harbour channel and while manoeuvring to avoid a buoy partially grounded on the harbour middle bank.,Grounding,Tauranga Harbour ,-37.639579,176.166289,Bay of Plenty,In harbour,Domestic Commercial,0,Passenger/Vehicle Ferry,MOSS,New Zealand,66,30,2005
EVT-3875,12/08/2022,"Oil mist detector failed, causing main engine to shut down during departure. Tugs assisted vessel from berth before the main engine was restarted and vessel resumed its departure.",Propulsion failure,Auckland Harbour ,-36.836493,174.792996,Auckland,In harbour,International Commercial,0,General cargo/multi-purpose ship,ISM,Singapore,9530,NULL,2010
